Time	Device Name	Type	PID	Tag	Message
07-07 20:57:54.731	Samsung SM-G996B	Debug	1953	KeyguardSecIndicationController	addIndicationTimeout() returned - unlocking
07-07 20:57:54.732	Samsung SM-G996B	Debug	1953	KeyguardSecIndicationController	addBatteryAndOwnerInfoIndication() battery status = BatteryStatus{status=2,level=22,plugged=2,health=2,maxChargingWattage=-1,remaining=8779000ultraFastCharger=0}
07-07 20:57:54.732	Samsung SM-G996B	Debug	1953	KeyguardSecIndicationController	addIndication() returned - unlocking
 remove Item pos = DEFAULT, type =           OWNER_INFO
07-07 20:57:54.728	Samsung SM-G996B	Debug	1953	KeyguardUpdateMonitor	handleBatteryUpdate
07-07 20:57:54.728	Samsung SM-G996B	Debug	1953	KeyguardUpdateMonitor	received broadcast android.intent.action.BATTERY_CHANGED
07-07 20:57:54.728	Samsung SM-G996B	Debug	1953	SamsungBatteryMeterDrawable	onBatteryLevelChanged isSomethingChanged: false
07-07 20:57:54.728	Samsung SM-G996B	Debug	1953	SamsungBatteryMeterDrawable	onBatteryLevelChanged isSomethingChanged: false
07-07 20:57:54.727	Samsung SM-G996B	Debug	1953	SamsungBatteryMeterDrawable	onBatteryLevelChanged isSomethingChanged: false
07-07 20:57:54.727	Samsung SM-G996B	Debug	1953	SamsungBatteryMeterDrawable	onBatteryLevelChanged isSomethingChanged: false
07-07 20:57:54.727	Samsung SM-G996B	Info	1953	PowerUI	mBatteryMiscEvent = 65536
07-07 20:57:54.727	Samsung SM-G996B	Debug	1953	PowerUI	Battery swelling mode - priorBatterySwellingMode = 0 mBatterySwellingMode = 0 mBatteryStatus = 2
07-07 20:57:54.726	Samsung SM-G996B	Debug	1400	ApplicationPolicy	isStatusBarNotificationAllowedAsUser: converting userId from USER_ALLto 0
07-07 20:57:54.726	Samsung SM-G996B	Debug	1400	ApplicationPolicy	isStatusBarNotificationAllowedAsUser: packageName = com.android.systemui,userId = -1
07-07 20:57:54.725	Samsung SM-G996B	Debug	1400	ApplicationPolicy	isStatusBarNotificationAllowedAsUser: packageName = com.android.systemui,userId = 0
07-07 20:57:54.722	Samsung SM-G996B	Debug	1953	SecPowerUI.Notification	SecBatteryStatsSnapshot{batteryLevel=22, currentBatteryMode=0, chargingTime=8779000, chargingType=11, batteryHealth=2, automaticTestMode=false, isHiccupState=false}
07-07 20:57:54.722	Samsung SM-G996B	Debug	1953	SecPowerUI.Notification	showChargingNotification()
07-07 20:57:54.722	Samsung SM-G996B	Debug	1953	SecPowerUI.Notification	showChargingNotice oldChargingType : 11 / currentChargingType : 11, oldChargingTime : 8790000 / mChargingTime : 8779000
07-07 20:57:54.722	Samsung SM-G996B	Error	1953	SecPowerUI.Notification	no saved value, so we do nothing !!
07-07 20:57:54.722	Samsung SM-G996B	Debug	1953	SecPowerUI.Notification	1. restoreScreenTimeOut - saved_value : :
07-07 20:57:54.721	Samsung SM-G996B	Debug	1953	SecPowerUI.Notification	SecBatteryStatsSnapshot{batteryLevel=22, currentBatteryMode=0, chargingTime=8790000, chargingType=11, batteryHealth=2, automaticTestMode=false, isHiccupState=false}
07-07 20:57:54.721	Samsung SM-G996B	Debug	1953	SecPowerUI.Notification	updateNotification mWarning=false mPlaySound=false
07-07 20:57:54.721	Samsung SM-G996B	Debug	1953	SecPowerUI.Notification	dismissing low battery warning: level=22
07-07 20:57:54.721	Samsung SM-G996B	Info	1953	PowerUI	oldMisalign : false, curMisalign : false
07-07 20:57:54.721	Samsung SM-G996B	Warning	1953	PowerUI	Skip charging sound - by plug status
07-07 20:57:54.721	Samsung SM-G996B	Warning	1953	PowerUI	Plug reason
07-07 20:57:54.721	Samsung SM-G996B	Debug	1953	PowerUI	priorPlugType = 2 mPlugType = 2 priorBatteryStatus = 2 mBatteryStatus = 2
07-07 20:57:54.721	Samsung SM-G996B	Warning	1953	PowerUI	Skip charging animation - by plug status
07-07 20:57:54.721	Samsung SM-G996B	Warning	1953	PowerUI	Plug reason
07-07 20:57:54.721	Samsung SM-G996B	Info	1953	PowerUI	BATTERY_HEALTH_CHECK extraHealth=2 mBatteryMiscEvent=65536
07-07 20:57:54.720	Samsung SM-G996B	Info	1953	PowerUI	mBootCompleted = true |  mFullyConnected = true
07-07 20:57:54.719	Samsung SM-G996B	Info	1953	ChargingInfoManager	updateChargingInfo: newState = AOD ChargingInfo [mState=BATTERY_AND_REMAIN_TIME, mIsCharging=true, mIsFullyCharged=false, mIsBatteryProtectMode=false], oldState = AOD ChargingInfo [mState=BATTERY_AND_REMAIN_TIME, mIsCharging=true, mIsFullyCharged=false, mIsBatteryProtectMode=false]
07-07 20:57:54.719	Samsung SM-G996B	Info	1953	AODBatteryManager	saveBatteryData : AOD BatteryData [mBatteryLevel=22, mBatteryStatus=CHARGING, mBatteryPlugType=USB, mBatteryPlugged=true, mRemainingChargeTime=8779000, mBatteryChargingType=1, mBatteryChargerType=NORMAL, mBatteryOnline=NOT_DEFINED, mBatterySwellingMode=NONE, mBatteryProtectMode=false]
07-07 20:57:54.718	Samsung SM-G996B	Warning	1400	BroadcastQueue	intent:Intent { act=android.intent.action.BATTERY_CHANGED flg=0x60000010 (has extras) } is skipped in RestrictedPackage to ProcessRecord{5bfa847 32751:com.microsoft.office.outlook/u0a283}
07-07 20:57:54.718	Samsung SM-G996B	Debug	1400	BaseRestrictionMgr	Package: com.microsoft.office.outlook, userid: 0, hostingType: broadcast is Restricted by policy: 4 caller is: null
07-07 20:57:54.717	Samsung SM-G996B	Warning	1400	BroadcastQueue	intent:Intent { act=android.intent.action.BATTERY_CHANGED flg=0x60000010 (has extras) } is skipped in RestrictedPackage to ProcessRecord{5a81f92 25507:com.facebook.orca/u0a465}
07-07 20:57:54.717	Samsung SM-G996B	Debug	1400	BaseRestrictionMgr	Package: com.facebook.orca, userid: 0, hostingType: broadcast is Restricted by policy: 4 caller is: null
